user,card,year,month,day,time,amount,use_chip,card_number,merchant_city,merchant_state,zip,mcc,errors,is_fraud
0,0,2002,9,1,6:21,$134.09 ,Swipe Transaction,4.68537E+15,La Verne,CA,91750,5300,NULL,No
0,0,2002,9,1,6:42,$38.48 ,Swipe Transaction,5.25434E+15,Monterey Park,CA,91754,5411,NULL,No
0,0,2002,9,2,6:22,$120.34 ,Swipe Transaction,5.76413E+15,Monterey Park,CA,91754,5411,NULL,No
0,0,2002,9,2,17:45,$128.95 ,Swipe Transaction,5.17921E+15,Monterey Park,CA,91754,5651,NULL,No
0,0,2002,9,3,6:23,$104.71 ,Swipe Transaction,5.17212E+15,La Verne,CA,91750,5912,NULL,No
0,0,2002,9,3,13:53,$86.19 ,Swipe Transaction,5.86773E+15,Monterey Park,CA,91755,5970,NULL,No
0,0,2002,9,4,5:51,$93.84 ,Swipe Transaction,5.05244E+15,Monterey Park,CA,91754,5411,NULL,No
0,0,2002,9,4,6:09,$123.50 ,Swipe Transaction,5.4542E+15,Monterey Park,CA,91754,5411,NULL,No
0,0,2002,9,5,6:14,$61.72 ,Swipe Transaction,4.08637E+15,Monterey Park,CA,91754,5411,NULL,No
0,0,2002,9,5,9:35,$57.10 ,Swipe Transaction,5.40018E+15,La Verne,CA,91750,7538,NULL,No
0,0,2002,9,5,20:18,$76.07 ,Swipe Transaction,4.21503E+15,La Verne,CA,91750,5814,NULL,No
0,0,2002,9,5,20:41,$53.91 ,Online Transaction,4.92186E+15,ONLINE,NULL,NULL,4900,NULL,No
0,0,2002,9,6,6:16,$110.37 ,Swipe Transaction,5.04758E+15,Mira Loma,CA,91752,5541,NULL,No
0,0,2002,9,7,6:16,$117.05 ,Swipe Transaction,3.15254E+14,Monterey Park,CA,91754,5411,NULL,No
0,0,2002,9,7,6:34,$45.30 ,Swipe Transaction,4.69996E+15,Monterey Park,CA,91755,5942,NULL,No
0,0,2002,9,7,9:39,$29.34 ,Swipe Transaction,4.97332E+15,La Verne,CA,91750,7538,NULL,No
0,0,2002,9,8,6:10,$147.45 ,Swipe Transaction,5.40098E+15,La Verne,CA,91750,5912,NULL,No
0,0,2002,9,8,6:38,$27.75 ,Swipe Transaction,5.67948E+15,La Verne,CA,91750,5411,NULL,No
0,0,2002,9,8,13:48,$76.57 ,Swipe Transaction,3.14665E+14,Monterey Park,CA,91754,5411,NULL,No
0,0,2002,9,8,22:01,$22.56 ,Swipe Transaction,5.77375E+15,Mira Loma,CA,91752,7832,NULL,No
0,0,2002,9,9,6:54,$37.50 ,Swipe Transaction,3.29375E+14,La Verne,CA,91750,5411,NULL,No
0,0,2002,9,9,9:40,$65.50 ,Swipe Transaction,5.07992E+15,La Verne,CA,91750,7538,Technical Glitch,No
0,0,2002,9,9,13:19,$56.42 ,Swipe Transaction,4.96605E+15,La Verne,CA,91750,5311,NULL,No
0,0,2002,9,9,13:31,$2.71 ,Swipe Transaction,5.32213E+15,La Verne,CA,91750,5411,NULL,No
0,0,2002,9,9,20:02,$144.90 ,Online Transaction,5.16971E+15,ONLINE,NULL,NULL,4899,NULL,No
0,0,2002,9,10,6:20,$160.00 ,Swipe Transaction,5.45569E+15,Mira Loma,CA,91752,4829,NULL,No
0,0,2002,9,10,6:22,$102.18 ,Swipe Transaction,4.94057E+15,La Verne,CA,91750,5300,NULL,No
0,0,2002,9,10,6:31,$36.73 ,Swipe Transaction,3.26339E+14,La Verne,CA,91750,5912,NULL,No
0,0,2002,9,10,21:39,$29.33 ,Swipe Transaction,4.45912E+15,Mira Loma,CA,91752,7832,NULL,No
0,0,2002,9,11,6:28,$162.39 ,Swipe Transaction,3.54505E+14,La Verne,CA,91750,5411,NULL,No
0,0,2002,9,11,6:33,$34.40 ,Swipe Transaction,5.45719E+15,La Verne,CA,91750,5912,NULL,No
0,0,2002,9,11,13:06,$62.06 ,Swipe Transaction,4.85589E+15,Mira Loma,CA,91752,5541,NULL,No
0,0,2002,9,11,13:17,($99.00),Swipe Transaction,4.55938E+15,Mira Loma,CA,91752,5541,NULL,No
0,0,2002,9,11,13:23,$99.00 ,Swipe Transaction,5.79382E+15,Mira Loma,CA,91752,5541,NULL,No
0,0,2002,9,11,19:30,$80.18 ,Swipe Transaction,4.59765E+15,La Verne,CA,91750,5812,NULL,No
0,0,2002,9,12,6:21,$122.10 ,Swipe Transaction,5.61152E+15,La Verne,CA,91750,5411,Insufficient Balance,No
0,0,2002,9,12,6:26,$92.76 ,Swipe Transaction,5.75471E+15,La Verne,CA,91750,5411,NULL,No
0,0,2002,9,12,6:50,$52.52 ,Swipe Transaction,5.91655E+15,La Verne,CA,91750,5411,NULL,No
0,0,2002,9,12,11:43,$1.13 ,Swipe Transaction,3.95345E+14,La Verne,CA,91750,5499,NULL,No
0,0,2002,9,13,6:22,$126.79 ,Swipe Transaction,5.83549E+15,La Verne,CA,91750,5300,NULL,No
0,0,2002,9,13,6:37,$44.41 ,Swipe Transaction,5.69191E+15,La Verne,CA,91750,5912,NULL,No
0,0,2002,9,14,6:09,$164.37 ,Swipe Transaction,4.59202E+15,La Verne,CA,91750,5912,NULL,No
0,0,2002,9,14,13:08,$12.76 ,Swipe Transaction,4.15788E+15,La Verne,CA,91750,5814,NULL,No
0,0,2002,9,15,5:34,$109.94 ,Swipe Transaction,4.7068E+15,La Verne,CA,91750,5912,NULL,No
0,0,2002,9,15,6:18,$126.29 ,Swipe Transaction,4.6969E+15,La Verne,CA,91750,5311,NULL,No
0,0,2002,9,15,6:55,$40.81 ,Swipe Transaction,4.47487E+15,La Verne,CA,91750,5411,NULL,No
0,0,2002,9,15,13:54,$81.35 ,Swipe Transaction,5.56006E+15,Diamond Bar,CA,91765,5719,NULL,No
0,0,2002,9,16,6:00,$115.34 ,Swipe Transaction,4.16172E+15,La Verne,CA,91750,5300,NULL,No
0,0,2002,9,16,6:45,$44.25 ,Swipe Transaction,5.47495E+15,La Verne,CA,91750,5411,NULL,No
0,0,2002,9,17,6:09,$120.19 ,Swipe Transaction,4.13358E+15,La Verne,CA,91750,5912,Insufficient Balance,No
0,0,2002,9,17,6:24,$159.72 ,Swipe Transaction,3.66521E+14,La Verne,CA,91750,5912,NULL,No
0,0,2002,9,18,6:19,$128.85 ,Swipe Transaction,3.22453E+14,La Verne,CA,91750,5300,NULL,No
0,0,2002,9,18,20:01,$92.30 ,Swipe Transaction,3.25343E+14,La Verne,CA,91750,5814,NULL,No
0,0,2002,9,19,6:25,$168.11 ,Swipe Transaction,5.12565E+15,La Verne,CA,91750,5912,NULL,No
0,0,2002,9,19,9:42,$53.09 ,Swipe Transaction,5.991E+15,La Verne,CA,91750,7538,NULL,No
0,0,2002,9,20,6:01,$104.77 ,Swipe Transaction,5.34811E+15,La Verne,CA,91750,5311,Insufficient Balance,No
0,0,2002,9,20,6:17,$119.69 ,Swipe Transaction,4.04937E+15,La Verne,CA,91750,5311,NULL,No
0,0,2002,9,21,6:27,$145.50 ,Swipe Transaction,5.46773E+15,Mira Loma,CA,91752,5541,NULL,No
0,0,2002,9,21,6:47,$48.34 ,Swipe Transaction,4.77232E+15,Monterey Park,CA,91755,5942,NULL,No
0,0,2002,9,21,14:23,$2.79 ,Swipe Transaction,5.85803E+15,Monterey Park,CA,91754,5411,NULL,No
0,0,2002,9,22,6:50,$47.51 ,Swipe Transaction,5.28818E+15,La Verne,CA,91750,5411,NULL,No
0,0,2002,9,22,9:29,$51.98 ,Swipe Transaction,4.8936E+15,La Verne,CA,91750,7538,NULL,No
0,0,2002,9,22,9:37,$82.90 ,Swipe Transaction,5.20518E+15,La Verne,CA,91750,7538,NULL,No
0,0,2002,9,22,20:16,$76.37 ,Swipe Transaction,5.50591E+15,Mira Loma,CA,91752,5812,NULL,No
0,0,2002,9,23,6:01,$134.89 ,Swipe Transaction,4.25448E+15,La Verne,CA,91750,5300,NULL,No
0,0,2002,9,23,6:46,$35.28 ,Swipe Transaction,5.9814E+15,La Verne,CA,91750,5912,NULL,No
0,0,2002,9,23,20:26,$80.65 ,Swipe Transaction,5.69191E+15,La Verne,CA,91750,5814,NULL,No
0,0,2002,9,24,6:07,$112.67 ,Swipe Transaction,5.96025E+15,La Verne,CA,91750,5300,NULL,No
0,0,2002,9,25,6:19,$162.26 ,Swipe Transaction,5.01691E+15,La Verne,CA,91750,5912,NULL,No
